True,False,False,OTHER,OTHER
False,False,False,OTHER,OTHER
False,False,False,NONE,NONE
False,False,False,OTHER,OTHER
False,False,False,NONE,NONE
True,True,False,OTHER,OTHER
True,False,False,OTHER,OTHER
True,False,False,OTHER,OTHER
True,False,False,NONE,NONE
True,False,False,OTHER,OTHER
False,False,False,NONE,NONE
True,False,False,NONE,NONE
True,False,False,OTHER,OTHER
False,False,False,NONE,NONE
True,False,False,OTHER,OTHER
False,False,False,NONE,NONE
False,False,False,OTHER,OTHER
False,False,False,OTHER,OTHER
False,False,False,OTHER,OTHER
True,False,False,OTHER,OTHER
False,False,False,NONE,NONE
False,True,False,NONE,NONE
False,False,False,OTHER,OTHER
False,False,False,OTHER,OTHER
False,False,False,NONE,NONE
True,False,False,OTHER,OTHER
True,False,False,OTHER,OTHER
True,False,False,OTHER,OTHER
False,False,False,OTHER,OTHER
True,False,False,NONE,NONE
True,False,False,OTHER,OTHER
False,False,False,OTHER,OTHER
True,False,True,OTHER,OTHER
False,False,False,OTHER,OTHER
True,False,False,OTHER,OTHER
False,False,False,NONE,NONE
True,False,False,OTHER,OTHER
True,False,False,OTHER,OTHER
False,False,False,OTHER,OTHER
False,False,False,OTHER,OTHER
True,False,False,NONE,NONE
False,False,False,OTHER,OTHER
True,False,True,OTHER,OTHER
False,False,True,OTHER,OTHER
True,False,False,OTHER,OTHER
True,False,False,NONE,NONE
True,False,False,OTHER,OTHER
False,False,False,OTHER,OTHER
True,False,False,OTHER,OTHER
False,False,False,OTHER,OTHER
False,False,False,OTHER,OTHER
True,False,False,OTHER,OTHER
False,False,False,NONE,NONE
False,True,False,OTHER,OTHER
False,False,False,OTHER,OTHER
True,False,False,NONE,NONE
True,False,False,OTHER,OTHER
True,False,False,OTHER,OTHER
True,False,False,NONE,NONE
False,False,False,OTHER,OTHER
False,False,False,NONE,NONE
False,False,False,NONE,NONE
True,False,False,OTHER,OTHER
False,False,False,OTHER,OTHER
False,False,False,NONE,NONE
False,False,True,OTHER,OTHER
False,False,False,OTHER,OTHER
True,False,False,OTHER,OTHER
False,False,False,NONE,NONE
False,False,False,NONE,NONE
