rt,0.028,0.027,0.506155950752394
i,0.161,0.270,0.37282835302293255
proud,0.000,0.054,1.0
to,0.017,0.018,0.47982708933717577
rubio,0.006,0.009,0.38078902229845624
vote,0.042,0.090,0.6843601895734598
while,0.000,0.009,0.0
community,0.003,0.009,0.23516949152542374
barackobama,0.000,0.036,0.0
whole,0.003,0.036,0.9286173633440514
world,0.011,0.099,0.10056625141562853
you,0.163,0.180,0.475633669838042
before,0.006,0.000,1.0
whatever,0.066,0.081,0.4505327245053272
after,0.019,0.000,1.0
ever,0.003,0.027,0.092964824120603
see,0.017,0.027,0.6192109777015438
about,0.058,0.018,0.7635113003603013
him,0.008,0.000,1.0
than,0.014,0.000,1.0
long,0.011,0.000,0.0
some,0.019,0.027,0.5822580645161292
your,0.044,0.045,0.49595085171739733
dude,0.006,0.000,1.0
favor,0.006,0.009,0.6192109777015437
ve,0.000,0.018,0.0
my,0.025,0.117,0.17550948699929725
m,0.044,0.045,0.49595085171739733
didn,0.017,0.000,1.0
how,0.039,0.009,0.8114882506527415
u,0.022,0.027,0.4505327245053273
run,0.019,0.009,0.3172231985940246
this,0.058,0.063,0.4798270893371758
uniteblue,0.017,0.009,0.6484907497565726
up,0.033,0.027,0.4484472049689441
obama,0.044,0.000,1.0
way,0.014,0.036,0.7223611805902952
too,0.017,0.009,0.6484907497565726
running,0.014,0.018,0.5653876272513704
chief,0.006,0.009,0.6192109777015437
only,0.019,0.018,0.4816544362908606
his,0.011,0.009,0.5515527950310559
let,0.014,0.027,0.6611721611721612
beat,0.006,0.009,0.6192109777015437
home,0.000,0.027,1.0
are,0.014,0.009,0.6058951965065502
money,0.014,0.000,1.0
playing,0.003,0.000,1.0
words,0.008,0.009,0.47982708933717577
like,0.044,0.036,0.4484472049689441
being,0.011,0.009,0.5515527950310559
for,0.014,0.009,0.6058951965065502
our,0.022,0.036,0.38078902229845624
iraq,0.006,0.000,1.0
year,0.008,0.009,0.47982708933717577
does,0.014,0.000,1.0
need,0.017,0.054,0.7648305084745762
country,0.025,0.018,0.5804764671702499
laughing,0.047,0.036,0.5664965475833084
out,0.047,0.036,0.4335034524166917
loud,0.047,0.036,0.4335034524166917
why,0.042,0.018,0.6975282781734394
significant,0.053,0.108,0.672566371681416
other,0.061,0.108,0.6395039858281665
people,0.036,0.036,0.49982680983720124
here,0.003,0.027,0.092964824120603
spent,0.006,0.000,1.0
even,0.064,0.009,0.12388469457789979
party,0.003,0.009,0.23516949152542374
stand,0.008,0.018,0.6843601895734597
am,0.006,0.045,0.10952146028613714
support,0.033,0.072,0.6843601895734597
stop,0.017,0.018,0.5201729106628241
jeb,0.000,0.009,0.0
sure,0.008,0.009,0.5201729106628241
don,0.028,0.036,0.43461237274862957
yet,0.017,0.009,0.3515092502434275
far,0.000,0.027,1.0
finally,0.003,0.009,0.23516949152542374
side,0.003,0.018,0.8667466986794717
ll,0.014,0.009,0.6058951965065502
every,0.014,0.009,0.39410480349344984
they,0.039,0.018,0.6827768014059753
dog,0.006,0.000,1.0
me,0.028,0.045,0.3807890222984563
focus,0.003,0.018,0.8667466986794717
2016,0.028,0.036,0.43461237274862957
over,0.017,0.018,0.47982708933717577
had,0.008,0.009,0.47982708933717577
more,0.030,0.027,0.5299479166666666
twitter,0.003,0.009,0.23516949152542374
major,0.008,0.009,0.5201729106628241
cruz,0.003,0.009,0.23516949152542374
men,0.003,0.000,1.0
same,0.011,0.018,0.6192109777015437
right,0.022,0.054,0.7092337917485265
real,0.017,0.009,0.3515092502434275
america,0.014,0.018,0.43461237274862957
tell,0.006,0.000,1.0
name,0.011,0.009,0.4484472049689441
someone,0.006,0.000,1.0
them,0.014,0.000,1.0
left,0.006,0.000,1.0
re,0.033,0.018,0.6484907497565726
help,0.008,0.036,0.8126055149127744
least,0.008,0.000,1.0
speech,0.006,0.018,0.7648305084745763
still,0.022,0.009,0.28903122497998396
tedcruz,0.003,0.009,0.23516949152542374
getting,0.006,0.009,0.38078902229845624
called,0.011,0.000,1.0
gets,0.011,0.000,1.0
keep,0.017,0.027,0.6192109777015438
3,0.006,0.009,0.38078902229845624
political,0.008,0.000,1.0
together,0.003,0.018,0.8667466986794717
good,0.014,0.027,0.6611721611721612
randpaul,0.003,0.009,0.23516949152542374
freedom_justice_equality_education,0.000,0.018,0.0
innovation,0.000,0.018,0.0
development,0.000,0.018,0.0
happy_life,0.000,0.018,0.0
utopia,0.000,0.018,0.0
well,0.008,0.009,0.5201729106628241
hide,0.014,0.000,0.0
hell,0.008,0.000,0.0
use,0.008,0.000,0.0
gov,0.003,0.000,1.0
may,0.006,0.000,1.0
rest,0.008,0.000,0.0
meaning,0.006,0.000,0.0
yawn,0.006,0.000,0.0
trump,0.006,0.009,0.38078902229845624
champion,0.011,0.018,0.6192109777015437
millions,0.006,0.000,1.0
govt,0.006,0.000,1.0
pretty,0.014,0.000,0.0
bus,0.006,0.009,0.6192109777015437
back,0.008,0.009,0.5201729106628241
white,0.014,0.000,0.0
already,0.008,0.000,0.0
very,0.017,0.000,0.0
corrupt,0.008,0.000,0.0
fine,0.006,0.009,0.6192109777015437
qualified,0.003,0.018,0.8667466986794717
encourage,0.000,0.027,1.0
success,0.000,0.027,1.0
marymorientes,0.000,0.018,0.0
put,0.008,0.009,0.5201729106628241
meeting,0.003,0.027,0.907035175879397
change,0.008,0.000,0.0
now,0.033,0.009,0.7867690490253988
baltimoreriots,0.000,0.009,0.0
raised,0.011,0.000,0.0
thing,0.011,0.009,0.4484472049689441
hear,0.008,0.018,0.3156398104265403
keeps,0.006,0.000,1.0
fav,0.003,0.000,1.0
of,0.003,0.009,0.23516949152542374
warcraft,0.003,0.009,0.23516949152542374
(online,0.006,0.009,0.38078902229845624
gaming),0.006,0.009,0.38078902229845624
voters,0.008,0.009,0.47982708933717577
any,0.006,0.000,1.0
new,0.019,0.027,0.5822580645161292
destroy,0.008,0.000,0.0
bernie,0.011,0.036,0.23516949152542374
sanders,0.003,0.009,0.23516949152542374
primary,0.006,0.009,0.6192109777015437
always,0.003,0.009,0.23516949152542374
work,0.011,0.018,0.6192109777015437
poor,0.008,0.000,0.0
5,0.003,0.009,0.23516949152542374
gee,0.006,0.000,1.0
realdonaldtrump,0.008,0.009,0.47982708933717577
makes,0.006,0.000,1.0
making,0.003,0.009,0.23516949152542374
win,0.014,0.027,0.6611721611721612
opponent,0.003,0.000,1.0
talking,0.006,0.000,1.0
missing,0.006,0.009,0.6192109777015437
please,0.019,0.000,0.0
trust,0.011,0.000,0.0
presidential,0.008,0.000,0.0
policy,0.003,0.009,0.23516949152542374
thanks,0.006,0.018,0.23516949152542374
workers,0.000,0.018,0.0
big,0.017,0.009,0.3515092502434275
